Method,Seed,Profile,ScoreType,Scope,Feature,N,SpearmanRho,PValue
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,GRN_out_degree,9039,0.03617014143799248,0.0005828384954512929
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,GRN_total_degree,9039,0.05189552588605552,7.95201796281937e-07
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,Omics_Mutation,8957,0.28624840115029526,1.689393988559354e-168
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,Omics_Expression,8957,0.009296923615463724,0.37898373330588686
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,all_9039,Omics_Methylation,8957,-0.025779037403470803,0.01469418080636774
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,MutationFrequency,2419,0.1247329277849852,7.476392733169254e-10
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,PPI_Degree,2419,0.15815031755475442,5.132452901023589e-15
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,GRN_in_degree,2419,0.08594390372838338,2.309478410538334e-05
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,GRN_out_degree,2419,0.06254740258998362,0.002085955424738456
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,GRN_total_degree,2419,0.08785111816841291,1.5119162078967222e-05
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,Omics_Mutation,2419,0.1247329277849852,7.476392733169254e-10
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,Omics_Expression,2419,-0.012708914815799862,0.5321227370789761
bandit_discovery_heavy,42.0,discovery_heavy,BanditRankScore,lowfreq_novel,Omics_Methylation,2419,-0.049584047071586125,0.014730075259888693
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,MutationFrequency,9039,0.3190256691810107,6.098472815300839e-213
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,PPI_Degree,9039,0.3854843090619514,0.0
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,GRN_in_degree,9039,0.16682887174474856,2.0389276999279606e-57
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,GRN_out_degree,9039,0.1091577844713422,2.286650637226711e-25
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,GRN_total_degree,9039,0.17716633678096028,1.236859397141734e-64
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,Omics_Mutation,8957,0.31862943477087335,1.761561081442664e-210
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,Omics_Expression,8957,0.050193313007347105,2.007185112539836e-06
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,all_9039,Omics_Methylation,8957,-0.0025507497611861026,0.8092658029452953
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,MutationFrequency,2419,0.35699887799869856,1.2663621678375845e-73
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,PPI_Degree,2419,0.5637829837918282,5.030783822462519e-203
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_in_degree,2419,0.2215338169244206,2.817959225723412e-28
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_out_degree,2419,0.09535271563638963,2.6265996081228933e-06
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_total_degree,2419,0.22732620881884014,1.0044498606361524e-29
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Mutation,2419,0.35699887799869856,1.2663621678375845e-73
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Expression,2419,0.04316288304900075,0.0337717574954215
bandit_recovery_heavy,45.0,recovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Methylation,2419,-0.013059470012327835,0.5208708333917271
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,MutationFrequency,9039,0.3190235682721615,6.139775854569195e-213
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,PPI_Degree,9039,0.38547716809149146,0.0
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,GRN_in_degree,9039,0.16682026326798277,2.0664348792407403e-57
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,GRN_out_degree,9039,0.10915471353997365,2.2937352702537997e-25
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,GRN_total_degree,9039,0.1771577400401284,1.2546204442065064e-64
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,Omics_Mutation,8957,0.3186273005335053,1.773552928886505e-210
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,Omics_Expression,8957,0.05019315313360389,2.0073356415246372e-06
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,all_9039,Omics_Methylation,8957,-0.0025462625740957368,0.8095948879074771
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,MutationFrequency,2419,0.35700891131684154,1.2538242797588216e-73
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,PPI_Degree,2419,0.5637003508080057,5.934404357592326e-203
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,GRN_in_degree,2419,0.22144263473228623,2.967587454452607e-28
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,GRN_out_degree,2419,0.09530769799243638,2.6553979092803763e-06
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,GRN_total_degree,2419,0.22723412377266275,1.0599057022172358e-29
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,Omics_Mutation,2419,0.35700891131684154,1.2538242797588216e-73
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,Omics_Expression,2419,0.04313909054456359,0.03387006959389001
bandit_recovery_heavy,45.0,recovery_heavy,BanditRankScore,lowfreq_novel,Omics_Methylation,2419,-0.013021804396166606,0.5220739025449179
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,MutationFrequency,9039,0.37537802638794204,2.0226075345493438e-300
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,PPI_Degree,9039,0.11506518176175737,5.061703749510673e-28
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,GRN_in_degree,9039,0.12831724688261634,1.7099173304672442e-34
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,GRN_out_degree,9039,0.0877221305631192,6.542167181028231e-17
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,GRN_total_degree,9039,0.13591990397719916,1.570351411747315e-38
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,Omics_Mutation,8957,0.3755690948384815,4.866931482794767e-298
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,Omics_Expression,8957,0.021205455875583056,0.04476455266435316
bandit_compromise,45.0,compromise,BanditRolloutScore,all_9039,Omics_Methylation,8957,-0.010264156891384005,0.33139667876578005
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,MutationFrequency,2419,0.38467043557264363,3.784798947136072e-86
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,PPI_Degree,2419,0.37420606019492264,2.8774824928345323e-81
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,GRN_in_degree,2419,0.21189443296079344,5.886262834712452e-26
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,GRN_out_degree,2419,0.08408301135704752,3.462791849109913e-05
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,GRN_total_degree,2419,0.21599917434973462,6.245884687780491e-27
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,Omics_Mutation,2419,0.38467043557264363,3.784798947136072e-86
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,Omics_Expression,2419,0.016926497593984836,0.4053350935816221
bandit_compromise,45.0,compromise,BanditRolloutScore,lowfreq_novel,Omics_Methylation,2419,-0.02863245166009205,0.15919027761508453
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,MutationFrequency,9039,0.3754623168934338,1.449583225674861e-300
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,PPI_Degree,9039,0.11508875156444803,4.9365229358912595e-28
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,GRN_in_degree,9039,0.12832709544684895,1.6900484564849727e-34
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,GRN_out_degree,9039,0.08776476050281727,6.320071703705108e-17
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,GRN_total_degree,9039,0.1359288879190796,1.5526931848263633e-38
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,Omics_Mutation,8957,0.3756555231459773,3.4686693526917805e-298
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,Omics_Expression,8957,0.021240453452834297,0.044412875714196665
bandit_compromise,45.0,compromise,BanditRankScore,all_9039,Omics_Methylation,8957,-0.010214494305540497,0.3337417202123164
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,MutationFrequency,2419,0.38613722629996733,7.576784695890755e-87
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,PPI_Degree,2419,0.37449071149731944,2.1310877425475285e-81
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,GRN_in_degree,2419,0.21179330458509496,6.217100528079169e-26
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,GRN_out_degree,2419,0.08456883369930983,3.117769094464509e-05
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,GRN_total_degree,2419,0.21588543838071286,6.650596590845944e-27
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,Omics_Mutation,2419,0.38613722629996733,7.576784695890755e-87
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,Omics_Expression,2419,0.01726522985749095,0.39600045676992723
bandit_compromise,45.0,compromise,BanditRankScore,lowfreq_novel,Omics_Methylation,2419,-0.02795887642275329,0.1692342017216909
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,MutationFrequency,9039,0.35947590074423974,6.880926834163358e-274
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,PPI_Degree,9039,0.2808443342878696,1.7842574007740306e-163
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,GRN_in_degree,9039,0.1723510755699903,3.2430448043912995e-61
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,GRN_out_degree,9039,0.12064228437723079,1.1696400053667483e-30
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,GRN_total_degree,9039,0.18140625240742506,9.991067182522361e-68
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,Omics_Mutation,8957,0.35958355601775377,1.3503049266814551e-271
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,Omics_Expression,8957,-0.00961089487884635,0.3630952919873489
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,all_9039,Omics_Methylation,8957,-0.041496488926115294,8.550191146210495e-05
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,MutationFrequency,2419,0.3207705616273978,5.180131434343383e-59
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,PPI_Degree,2419,0.489435374283876,6.2513175632378225e-146
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_in_degree,2419,0.2350330121218288,1.0276671479789533e-31
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_out_degree,2419,0.10359440272850537,3.286537814330568e-07
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,GRN_total_degree,2419,0.23912212140372213,8.438287485379513e-33
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Mutation,2419,0.3207705616273978,5.180131434343383e-59
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Expression,2419,-0.01345534837501367,0.5083130392629406
bandit_discovery_heavy,45.0,discovery_heavy,BanditRolloutScore,lowfreq_novel,Omics_Methylation,2419,-0.04787810385170033,0.018525796282678003
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,MutationFrequency,9039,0.35987859363719543,1.5284115583988635e-274
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,PPI_Degree,9039,0.28135432227781115,4.362772210219774e-164
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,GRN_in_degree,9039,0.1724753585498855,2.654401654582861e-61
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,GRN_out_degree,9039,0.12044829909998392,1.4516762966380605e-30
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,GRN_total_degree,9039,0.18149532659628895,8.586316274546624e-68
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,Omics_Mutation,8957,0.3599948749089234,2.943156749808009e-272
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,Omics_Expression,8957,-0.009335363145338619,0.37701584570796376
bandit_discovery_heavy,45.0,discovery_heavy,BanditRankScore,all_9039,Omics_Methylation,8957,-0.04144197675996929,8.735666636658632e-05
