BanditMethod,Comparator,Seed,K,Evidence,BanditHitRate,ComparatorHitRate,HitRateDifference,BanditFold,ComparatorFold,FoldDifference
bandit_discovery_heavy,MLP,45,100,IndependentStrongHit,0.03,0.04,-0.010000000000000002,4.838,6.450666666666668,-1.6126666666666676
bandit_discovery_heavy,MLP,45,150,IndependentAnyHit,0.35333333333333333,0.36666666666666664,-0.013333333333333308,2.011090196078431,2.0869803921568626,-0.0758901960784315
bandit_discovery_heavy,MLP,45,150,IndependentStrongHit,0.02,0.02666666666666667,-0.006666666666666668,3.225333333333334,4.300444444444445,-1.0751111111111116
bandit_discovery_heavy,GCN,42,50,IndependentAnyHit,0.16,0.54,-0.38,0.9106823529411764,3.0735529411764704,-2.162870588235294
bandit_discovery_heavy,GCN,42,50,IndependentStrongHit,0.02,0.04,-0.02,3.225333333333334,6.450666666666668,-3.225333333333334
bandit_discovery_heavy,GCN,42,100,IndependentAnyHit,0.21,0.46,-0.25,1.195270588235294,2.6182117647058822,-1.4229411764705882
bandit_discovery_heavy,GCN,42,100,IndependentStrongHit,0.01,0.04,-0.03,1.612666666666667,6.450666666666668,-4.838000000000001
bandit_discovery_heavy,GCN,42,150,IndependentAnyHit,0.2,0.4066666666666667,-0.20666666666666667,1.1383529411764706,2.3146509803921567,-1.176298039215686
bandit_discovery_heavy,GCN,42,150,IndependentStrongHit,0.006666666666666667,0.04,-0.03333333333333333,1.0751111111111114,6.450666666666668,-5.3755555555555565
bandit_discovery_heavy,GCN,45,50,IndependentAnyHit,0.38,0.56,-0.18000000000000005,2.162870588235294,3.187388235294118,-1.0245176470588238
bandit_discovery_heavy,GCN,45,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_discovery_heavy,GCN,45,100,IndependentAnyHit,0.36,0.45,-0.09000000000000002,2.049035294117647,2.561294117647059,-0.5122588235294119
bandit_discovery_heavy,GCN,45,100,IndependentStrongHit,0.03,0.03,0.0,4.838,4.838,0.0
bandit_discovery_heavy,GCN,45,150,IndependentAnyHit,0.35333333333333333,0.38666666666666666,-0.033333333333333326,2.011090196078431,2.2008156862745096,-0.18972549019607854
bandit_discovery_heavy,GCN,45,150,IndependentStrongHit,0.02,0.03333333333333333,-0.013333333333333332,3.225333333333334,5.375555555555556,-2.150222222222222
bandit_recovery_heavy,MLP,42,50,IndependentAnyHit,0.36,0.32,0.03999999999999998,2.049035294117647,1.8213647058823528,0.2276705882352943
bandit_recovery_heavy,MLP,42,50,IndependentStrongHit,0.04,0.02,0.02,6.450666666666668,3.225333333333334,3.225333333333334
bandit_recovery_heavy,MLP,42,100,IndependentAnyHit,0.39,0.38,0.010000000000000009,2.2197882352941174,2.162870588235294,0.056917647058823295
bandit_recovery_heavy,MLP,42,100,IndependentStrongHit,0.03,0.04,-0.010000000000000002,4.838,6.450666666666668,-1.6126666666666676
bandit_recovery_heavy,MLP,42,150,IndependentAnyHit,0.36,0.37333333333333335,-0.013333333333333364,2.049035294117647,2.1249254901960786,-0.0758901960784315
bandit_recovery_heavy,MLP,42,150,IndependentStrongHit,0.02,0.03333333333333333,-0.013333333333333332,3.225333333333334,5.375555555555556,-2.150222222222222
bandit_recovery_heavy,MLP,45,50,IndependentAnyHit,0.44,0.34,0.09999999999999998,2.504376470588235,1.9352,0.5691764705882352
bandit_recovery_heavy,MLP,45,50,IndependentStrongHit,0.04,0.04,0.0,6.450666666666668,6.450666666666668,0.0
bandit_recovery_heavy,MLP,45,100,IndependentAnyHit,0.41,0.36,0.04999999999999999,2.3336235294117644,2.049035294117647,0.28458823529411736
bandit_recovery_heavy,MLP,45,100,IndependentStrongHit,0.02,0.04,-0.02,3.225333333333334,6.450666666666668,-3.225333333333334
bandit_recovery_heavy,MLP,45,150,IndependentAnyHit,0.37333333333333335,0.36666666666666664,0.00666666666666671,2.1249254901960786,2.0869803921568626,0.037945098039215974
bandit_recovery_heavy,MLP,45,150,IndependentStrongHit,0.013333333333333334,0.02666666666666667,-0.013333333333333334,2.1502222222222227,4.300444444444445,-2.1502222222222227
bandit_recovery_heavy,GCN,42,50,IndependentAnyHit,0.36,0.54,-0.18000000000000005,2.049035294117647,3.0735529411764704,-1.0245176470588233
