Gene,CPTACProteinPairs,CPTACProteinMedianDelta,CPTACProteinP,CPTACProteinQ,CPTACMutationCount,CPTACRecurrence,CPTACProteinSupport,DepMapCCRCCN,DepMapCCRCCMedian,DepMapNonKidneyN,DepMapNonKidneyMedian,DepMapSelectivityDelta,DepMapCCRCCDependency,DepMapCCRCCSelective,Holdout_Category,Evidence_Level,Evidence_Type_Count,FrozenLiteratureHoldout,IndependentEvidenceClassCount,IndependentAnyHit,IndependentStrongHit,LowFrequencyNovel,PostHocNonMutationAnyHit,PostHocNonMutationStrongHit
TRIM24,80.0,0.0039731203705972,0.5779584116413209,0.6088285938654864,1.0,False,False,16.0,0.0377468662554534,1144.0,0.0592918656171672,0.0215449993617138,False,False,,,,False,0,False,False,True,False,False
MED1,80.0,0.125727316870801,1.32094652755225e-07,2.779909698590878e-07,2.0,True,False,16.0,-0.3306908519990821,1144.0,-0.6326785911156376,-0.3019877391165555,False,False,,,,False,1,True,False,True,False,False
MYBBP1A,80.0,0.4909940519605005,1.3816810416532172e-14,1.3865633068180698e-13,0.0,False,False,16.0,-0.5672106848337237,1144.0,-0.5493253685452502,0.0178853162884735,True,False,,,,False,0,False,False,True,False,False
RNF14,80.0,0.1280776502212983,3.413114557172092e-05,5.698556932609489e-05,0.0,False,False,16.0,-0.1294237639720639,1144.0,-0.0666980772318791,0.0627256867401847,False,False,,,,False,0,False,False,True,False,False
PAK6,24.0,-0.0666740984137987,0.7898378372192383,0.8121431780241263,0.0,False,False,16.0,0.0111992653790942,1144.0,-0.0255833921922618,-0.0367826575713561,False,False,,,,False,0,False,False,True,False,False
PIAS2,45.0,0.0370753666480005,0.1284390345499559,0.1492804821452322,0.0,False,False,16.0,0.0101842818615455,1144.0,0.0326836468776019,0.0224993650160563,False,False,,,,False,0,False,False,True,False,False
NCOA2,80.0,-0.01351409037205,0.4659798536587267,0.499578250053146,1.0,False,False,16.0,0.0124381628107094,1144.0,-0.0060255720247685,-0.0184637348354779,False,False,,,,False,0,False,False,True,False,False
NSD1,24.0,0.2358063373873005,0.0150449275970458,0.0196133093300942,3.0,True,False,16.0,-0.0786294787085724,1144.0,-0.0607825491746189,0.0178469295339534,False,False,,,,False,1,True,False,True,False,False
PIAS1,65.0,0.1604635889055004,0.000638982628544,0.0009508570422137,0.0,False,False,16.0,-0.2325741080144734,1144.0,-0.2503095176195103,-0.0177354096050369,False,False,,,,False,0,False,False,True,False,False
BRCA1,16.0,,,,1.0,False,False,16.0,-0.5172764435690324,1144.0,-0.4277516632266851,0.0895247803423472,True,False,,,,False,0,False,False,True,False,False
STAT3,80.0,0.0701199703801993,0.0069274958013383,0.0093463601310218,1.0,False,False,16.0,-0.1386740684240242,1144.0,-0.1956081572280226,-0.0569340888039983,False,False,Pathway_regulator,B,3.0,True,1,True,False,True,True,False
KAT5,65.0,0.2123916685467008,0.0011233273050854,0.0016360254084321,0.0,False,False,16.0,-0.6499193172671245,1144.0,-0.6392082459048462,0.0107110713622783,True,False,,,,False,0,False,False,True,False,False
IARS,,,,,,False,False,,,,,,False,False,,,,False,0,False,False,True,False,False
NRIP1,41.0,-0.2496106072624009,0.0284040245196592,0.0358203506375809,0.0,False,False,16.0,0.1671497385348192,1144.0,0.1239441431646451,-0.0432055953701741,False,False,,,,False,0,False,False,True,False,False
DAXX,80.0,0.2378744774493988,1.706090637982754e-11,5.617736129705532e-11,0.0,False,False,16.0,-0.3918566567014359,1144.0,-0.313188434400137,0.0786682223012988,False,False,,,,False,0,False,False,True,False,False
GAK,80.0,-0.4989974650879993,7.849526548031477e-15,1.3354214595445762e-13,1.0,False,False,16.0,-0.37235098511642,1144.0,-0.4974728757932493,-0.1251218906768292,False,False,,,,False,0,False,False,True,False,False
XRCC5,80.0,0.1659465768910504,1.47526819069283e-08,3.441282678905656e-08,0.0,False,False,16.0,-1.2386111689406456,1144.0,-1.2234448132764273,0.0151663556642183,True,False,,,,False,0,False,False,True,False,False
EP300,80.0,0.1554178775437495,2.420073333225325e-06,4.52154996305812e-06,0.0,False,False,16.0,-0.3574861940722716,1144.0,-0.2745287307887865,0.0829574632834851,False,False,,,,False,0,False,False,True,False,False
RBAK,12.0,,,,0.0,False,False,16.0,0.1964310905126971,1144.0,0.2133416540158427,0.0169105635031456,False,False,,,,False,0,False,False,True,False,False
DDC,80.0,-1.6361791407425006,1.2344457759240486e-14,1.3432283538790414e-13,0.0,False,True,16.0,0.0885468786014642,1144.0,0.06056389446007,-0.0279829841413942,False,False,,,,False,1,True,False,True,True,False
JMJD1C,80.0,0.0754234257984496,0.0051701722169096,0.0070626691178563,1.0,False,False,16.0,0.0232473969642782,1144.0,-0.0098338504934281,-0.0330812474577063,False,False,,,,False,0,False,False,True,False,False
CTDSP2,14.0,,,,0.0,False,False,16.0,-0.1873463528640429,1144.0,-0.1366931340184909,0.0506532188455519,False,False,,,,False,0,False,False,True,False,False
HIF1A,4.0,,,,2.0,True,False,16.0,0.2662973920164442,1144.0,0.1015808110817585,-0.1647165809346856,False,False,Pathway_regulator,B,3.0,True,2,True,True,True,True,False
CUL4B,80.0,0.2975249186451023,3.3783700970786466e-14,2.3119448375188805e-13,0.0,False,False,16.0,0.0200106360595597,1144.0,-0.0119312782670089,-0.0319419143265686,False,False,,,,False,0,False,False,True,False,False
KIF1A,4.0,,,,1.0,False,False,16.0,-0.2124314919527903,1144.0,-0.0788696013253594,0.1335618906274308,False,False,,,,False,0,False,False,True,False,False
MECOM,80.0,-1.062465895697699,1.3816810416532172e-14,1.3865633068180698e-13,1.0,False,True,16.0,0.0473787782555363,1144.0,-0.0067194170974584,-0.0540981953529947,False,False,,,,False,1,True,False,True,True,False
PML,80.0,0.6889300771769999,5.4534474119015815e-14,3.2674663818144493e-13,1.0,False,False,16.0,0.0530893752357563,1144.0,-0.0246922845292705,-0.0777816597650268,False,False,,,,False,0,False,False,True,False,False
MAML1,33.0,0.2519797696125003,0.0023886640556156,0.0033741884695093,1.0,False,False,16.0,-0.0069686452176283,1144.0,-0.0159085150699014,-0.008939869852273,False,False,,,,False,0,False,False,True,False,False
MAF,58.0,-0.2318316325491984,0.0025643368347229,0.0036070909413636,0.0,False,False,16.0,-0.1232408466995959,1144.0,-0.1283379793760838,-0.0050971326764879,False,False,,,,False,0,False,False,True,False,False
DDX5,80.0,0.0320230186001992,0.1953210774477666,0.2216188014189601,0.0,False,False,16.0,-0.5638956886202102,1144.0,-0.7621534151841856,-0.1982577265639753,True,False,,,,False,0,False,False,True,False,False
MYB,12.0,,,,0.0,False,False,16.0,-0.339610739302101,1144.0,-0.2623328841400667,0.0772778551620342,False,False,,,,False,0,False,False,True,False,False
SREBF2,4.0,,,,0.0,False,False,16.0,-0.0884881049333446,1144.0,0.0148536183581781,0.1033417232915227,False,False,,,,False,0,False,False,True,False,False
NFATC2,80.0,0.7636628128025507,3.1373667909173994e-14,2.210948309232112e-13,2.0,True,False,16.0,0.0504602044504005,1144.0,0.0360956825700668,-0.0143645218803337,False,False,,,,False,1,True,False,True,False,False
NFE2L2,,,,,2.0,True,False,16.0,-0.2743148342317967,1144.0,-0.1889065084959222,0.0854083257358744,False,False,,,,False,1,True,False,True,False,False
MYBL2,,,,,,False,False,16.0,-0.1570575883957369,1144.0,-0.4576491546306109,-0.300591566234874,False,False,,,,False,0,False,False,True,False,False
STAT6,80.0,0.5350342566323487,8.792926151362765e-15,1.3354214595445762e-13,1.0,False,False,16.0,-0.1132436325808594,1144.0,-0.135487185507814,-0.0222435529269545,False,False,,,,False,0,False,False,True,False,False
PROX1,12.0,,,,0.0,False,False,16.0,-0.0117277320890385,1144.0,-0.0415082878943042,-0.0297805558052656,False,False,,,,False,0,False,False,True,False,False
RPS6KA1,80.0,-0.3639803779003507,1.6069578281296974e-12,6.260302101355749e-12,0.0,False,False,16.0,-0.0673415910410463,1144.0,-0.10343784467109,-0.0360962536300436,False,False,,,,False,0,False,False,True,False,False
KAT2A,16.0,,,,1.0,False,False,16.0,-0.1425991440625431,1144.0,-0.2973046135938354,-0.1547054695312922,False,False,,,,False,0,False,False,True,False,False
NCOA6,80.0,0.0678710106886484,0.0089495186728547,0.011927091990102,0.0,False,False,16.0,-0.3768681525759086,1144.0,-0.217186006423761,0.1596821461521476,False,False,,,,False,0,False,False,True,False,False
HIPK2,8.0,,,,1.0,False,False,,,,,,False,False,,,,False,0,False,False,True,False,False
THRA,19.0,,,,1.0,False,False,16.0,-0.0590232242386154,1144.0,-0.0780641142625976,-0.0190408900239822,False,False,,,,False,0,False,False,True,False,False
NFATC4,64.0,0.12277553679065,0.0185725283871435,0.0239918037841653,0.0,False,False,16.0,-0.107471733515888,1144.0,-0.0877011576234088,0.0197705758924791,False,False,,,,False,0,False,False,True,False,False
SRCAP,8.0,,,,3.0,True,False,16.0,-1.223063715145007,1144.0,-1.1401752921451904,0.0828884229998165,True,False,,,,False,1,True,False,True,False,False
TACC2,80.0,-0.3735046280615002,1.4464692351344536e-11,4.810272397871018e-11,2.0,True,False,16.0,-0.0939270080826045,1144.0,-0.0283889876938257,0.0655380203887788,False,False,,,,False,1,True,False,True,False,False
MSH6,80.0,0.4288816003279017,5.643895241129601e-13,2.437819389324421e-12,0.0,False,False,16.0,-0.0409928156019152,1144.0,-0.0240699070506348,0.0169229085512803,False,False,,,,False,0,False,False,True,False,False
HLF,,,,,1.0,False,False,16.0,-0.0685810367055201,1144.0,-0.0975544590299314,-0.0289734223244113,False,False,,,,False,0,False,False,True,False,False
HNF1B,80.0,0.0311363161213513,0.4718679620626099,0.5055092464193935,0.0,False,False,16.0,-1.586151559752969,1144.0,-0.2060380120060765,1.3801135477468924,True,True,,,,False,1,True,False,True,True,False
SOX9,29.0,0.0531695222995018,0.2746259197592735,0.3049609431539929,0.0,False,False,16.0,-0.1465314303554885,1144.0,-0.1625284394651291,-0.0159970091096406,False,False,,,,False,0,False,False,True,False,False
UBTF,80.0,-0.0827433623634981,0.0001245313889413,0.0001989140295801,1.0,False,False,16.0,-1.6050296149096432,1144.0,-1.6535020516393646,-0.0484724367297213,True,False,,,,False,0,False,False,True,False,False
EGR1,12.0,,,,0.0,False,False,16.0,-0.0943296324523041,1144.0,-0.0716861618187639,0.0226434706335402,False,False,,,,False,0,False,False,True,False,False
EBF1,12.0,,,,2.0,True,False,16.0,0.031656095658797,1144.0,-0.0054743332194089,-0.0371304288782059,False,False,,,,False,1,True,False,True,False,False
ZBTB16,44.0,0.0749445306826483,0.2434992791543209,0.2727960366068132,2.0,True,False,16.0,0.1176902531093843,1144.0,0.1381032341104109,0.0204129810010265,False,False,,,,False,1,True,False,True,False,False
NFATC1,80.0,0.3722728158814519,4.637683588120806e-12,1.667217897501657e-11,0.0,False,False,16.0,0.0347378872373164,1144.0,0.0505516968823314,0.015813809645015,False,False,,,,False,0,False,False,True,False,False
ETV1,,,,,,False,False,16.0,0.096544358866564,1144.0,0.0643840878900638,-0.0321602709765001,False,False,,,,False,0,False,False,True,False,False
SS18,80.0,-0.0020419773141,0.8742381548982691,0.8895866570802881,0.0,False,False,16.0,0.2407460826916689,1144.0,0.1369466556752292,-0.1037994270164397,False,False,,,,False,0,False,False,True,False,False
RORA,11.0,,,,0.0,False,False,16.0,0.0640251003740288,1144.0,0.0683159950871686,0.0042908947131398,False,False,,,,False,0,False,False,True,False,False
JMY,52.0,-0.1393152464527514,0.0016271628842539,0.00233155529328,1.0,False,False,16.0,-0.0412317384804019,1144.0,-0.0967619919382753,-0.0555302534578733,False,False,,,,False,0,False,False,True,False,False
SIRT1,80.0,0.0453307810081007,0.1091644722776576,0.1280045835130255,2.0,True,False,16.0,0.0547306283438586,1144.0,0.0856243826325319,0.0308937542886733,False,False,,,,False,1,True,False,True,False,False
MITF,80.0,0.4863937107755003,3.7743865193628336e-14,2.525149049467714e-13,1.0,False,False,16.0,-0.143204585079785,1144.0,-0.0894996888936289,0.053704896186156,False,False,,,,False,0,False,False,True,False,False
HDAC6,80.0,-0.6305203107214492,2.323494387165528e-13,1.1053139128224622e-12,1.0,False,False,16.0,-0.0499064288770259,1144.0,-0.056142085653213,-0.006235656776187,False,False,,,,False,0,False,False,True,False,False
TP53BP1,80.0,0.1231438475975483,0.0014976313080674,0.0021562853814507,2.0,True,False,16.0,0.1189290412695342,1144.0,-0.0929413337353092,-0.2118703750048434,False,False,,,,False,1,True,False,True,False,False
BCL6,4.0,,,,0.0,False,False,16.0,-0.2174311314005454,1144.0,-0.1009487263193462,0.1164824050811992,False,False,,,,False,0,False,False,True,False,False
ZFPM2,,,,,1.0,False,False,16.0,0.0027173868196033,1144.0,0.0478165267029637,0.0450991398833603,False,False,,,,False,0,False,False,True,False,False
TCF12,72.0,-0.0102363592335485,0.6135220230534556,0.6430716167085492,0.0,False,False,16.0,-0.0048169659680163,1144.0,-0.0156768307723022,-0.0108598648042858,False,False,,,,False,0,False,False,True,False,False
TP63,,,,,,False,False,16.0,0.096559127808365,1144.0,0.0371972675162328,-0.0593618602921321,False,False,,,,False,0,False,False,True,False,False
SNW1,80.0,0.1041838830985995,3.0731955771592046e-05,5.159843593929731e-05,0.0,False,False,16.0,-1.457044579428748,1144.0,-1.5114208780667424,-0.0543762986379945,True,False,,,,False,0,False,False,True,False,False
ZNF148,80.0,0.051636673079999,0.062749906033158,0.0759470416084248,0.0,False,False,16.0,0.0581668194951831,1144.0,-0.0600381864815849,-0.118205005976768,False,False,,,,False,0,False,False,True,False,False
ZEB1,34.0,0.2235416743859488,0.0001502245431765,0.0002375488321946,0.0,False,False,16.0,-0.075582303317824,1144.0,-0.0509836220606169,0.0245986812572071,False,False,,,,False,0,False,False,True,False,False
CDK2,80.0,0.4859876618552974,1.1449828359123388e-14,1.3354214595445762e-13,0.0,False,False,16.0,-0.4355336883308539,1144.0,-0.6273177728867686,-0.1917840845559146,False,False,,,,False,0,False,False,True,False,False
HMGN2,80.0,0.0235961560004991,0.9273897269934688,0.9366240485993782,0.0,False,False,15.0,-0.5263207085054704,1027.0,-0.5037700142823315,0.0225506942231389,True,False,,,,False,0,False,False,True,False,False
MYBPC3,,,,,1.0,False,False,16.0,-0.0471949760169615,1144.0,-0.0635193523117682,-0.0163243762948067,False,False,,,,False,0,False,False,True,False,False
MYOM1,,,,,,False,False,16.0,0.129384614163987,1144.0,0.1260299030784352,-0.0033547110855517,False,False,,,,False,0,False,False,True,False,False
MYOM2,42.0,-0.2934289952097497,0.0432801301049039,0.0534880633150249,0.0,False,False,16.0,0.0324850409592388,1144.0,0.0555375648127634,0.0230525238535246,False,False,,,,False,0,False,False,True,False,False
OBSCN,,,,,3.0,True,False,16.0,0.2475069981220468,1144.0,0.2276419724052226,-0.0198650257168242,False,False,,,,False,1,True,False,True,False,False
ANKRD1,,,,,,False,False,16.0,-0.0644603324261138,1144.0,-0.0418327379893704,0.0226275944367433,False,False,,,,False,0,False,False,True,False,False
MYBPC1,,,,,1.0,False,False,16.0,0.0174323360406318,1144.0,0.0172448981739537,-0.000187437866678,False,False,,,,False,0,False,False,True,False,False
NEB,,,,,4.0,True,False,16.0,-0.0475230707606477,1144.0,0.0146913456183095,0.0622144163789572,False,False,,,,False,1,True,False,True,False,False
NOS1,57.0,-0.5201082065099989,0.0001109328556634,0.0001779436939194,0.0,False,False,16.0,-0.1285495088732046,1144.0,-0.1471484472506495,-0.0185989383774448,False,False,,,,False,0,False,False,True,False,False
ATXN1,77.0,0.3215522975376998,1.9868800802924196e-08,4.5542691105976365e-08,0.0,False,False,16.0,0.0525558696571836,1144.0,-0.008668085681414,-0.0612239553385976,False,False,,,,False,0,False,False,True,False,False
KAT6A,52.0,0.2195187016369484,0.0072196210309915,0.0097243176324476,1.0,False,False,16.0,-0.0971200185427883,1144.0,-0.1105696376502735,-0.0134496191074851,False,False,,,,False,0,False,False,True,False,False
PRRC2B,80.0,-0.0608385150392489,0.0004974895051093,0.0007493344972212,1.0,False,False,16.0,0.0032053440283542,1144.0,-0.0384714547252015,-0.0416767987535557,False,False,,,,False,0,False,False,True,False,False
ZHX3,80.0,-0.2243539471156985,1.6504568681067023e-09,4.259243530597942e-09,1.0,False,False,16.0,0.0671229597160268,1144.0,0.0712591185440054,0.0041361588279785,False,False,,,,False,0,False,False,True,False,False
ZHX2,80.0,0.2100785443580495,1.6272609074313168e-07,3.3906243412361986e-07,1.0,False,False,16.0,0.1690965842984411,1144.0,0.1014909019780644,-0.0676056823203767,False,False,,,,False,0,False,False,True,False,False
R3HDM2,53.0,0.0615226549438006,0.0867107083044599,0.1030461367842533,0.0,False,False,16.0,0.0073787038773805,1144.0,-0.0083326138456964,-0.015711317723077,False,False,,,,False,0,False,False,True,False,False
ZNF609,73.0,0.1278880269396012,0.0111767963432909,0.014770638257304,0.0,False,False,16.0,-0.0501114891855884,1144.0,-0.0249790462129764,0.0251324429726119,False,False,,,,False,0,False,False,True,False,False
GPATCH8,80.0,0.1949762333671003,2.284392287190671e-09,5.810724671403051e-09,0.0,False,False,16.0,-0.1334055421870016,1144.0,-0.1936035094825039,-0.0601979672955022,False,False,,,,False,0,False,False,True,False,False
R3HDM1,52.0,0.1342457431473001,0.0005765460503472,0.0008633750503486,2.0,True,False,16.0,-0.0358796747352911,1144.0,-0.0432245689141914,-0.0073448941789003,False,False,,,,False,1,True,False,True,False,False
KIAA1549L,,,,,,False,False,16.0,0.0225843352351645,1144.0,0.0439207504579561,0.0213364152227916,False,False,,,,False,0,False,False,True,False,False
AHDC1,80.0,0.2051395848868509,1.3337507742407725e-06,2.562822867959265e-06,1.0,False,False,16.0,-0.0283066459624531,1144.0,-0.1029517181037462,-0.0746450721412931,False,False,,,,False,0,False,False,True,False,False
STAC2,22.0,-0.3805854814526501,0.0634193420410156,0.0767214965832804,0.0,False,False,16.0,-0.0662581076288396,1144.0,-0.0855682381683571,-0.0193101305395174,False,False,,,,False,0,False,False,True,False,False
ANKHD1,41.0,0.3742880517858999,0.0002017913884628,0.0003148832655135,1.0,False,False,16.0,-0.0941956106235155,1144.0,-0.1062867980934412,-0.0120911874699256,False,False,,,,False,0,False,False,True,False,False
YY1AP1,2.0,,,,0.0,False,False,16.0,-0.1409342563655416,1144.0,-0.0825024049920297,0.0584318513735118,False,False,,,,False,0,False,False,True,False,False
WNK2,6.0,,,,1.0,False,False,,,,,,False,False,,,,False,0,False,False,True,False,False
GCFC2,80.0,0.0557069415297988,0.0006492473278136,0.0009653729900474,1.0,False,False,16.0,-0.0279701818919693,1144.0,-0.039414595669783,-0.0114444137778137,False,False,,,,False,0,False,False,True,False,False
C1ORF94,,,,,,False,False,16.0,0.138424252505913,1144.0,0.1309146543263052,-0.0075095981796078,False,False,,,,False,0,False,False,True,False,False
ZNF804A,,,,,,False,False,16.0,0.0868906440346445,1144.0,0.0805565304069422,-0.0063341136277023,False,False,,,,False,0,False,False,True,False,False
ZNF276,76.0,0.2348380777722489,0.0004222421137216,0.0006407521255513,0.0,False,False,16.0,0.085288895044069,1144.0,0.0592822635247046,-0.0260066315193643,False,False,,,,False,0,False,False,True,False,False
TBC1D5,80.0,-0.1053766381895009,1.1586780794570074e-07,2.452959929674171e-07,0.0,False,False,16.0,-0.1013396032079921,1144.0,-0.0799602111688318,0.0213793920391603,False,False,,,,False,0,False,False,True,False,False
IST1,80.0,-0.1186485742434992,4.7472556656820486e-06,8.656312096652981e-06,0.0,False,False,16.0,-0.2057376530118093,1144.0,-0.2962413246112534,-0.0905036715994441,False,False,,,,False,0,False,False,True,False,False
ATP1A3,,,,,2.0,True,False,16.0,-0.0500779718049901,1144.0,0.0185845929310815,0.0686625647360716,False,False,,,,False,1,True,False,True,False,False
TLN1,80.0,0.1188711027355999,0.0074433704047911,0.0100067086151984,1.0,False,False,16.0,-0.6423183041341082,1144.0,-0.338250114694864,0.3040681894392442,True,True,,,,False,1,True,False,True,True,False
PRKCH,80.0,0.3666472089189501,4.94675244970505e-10,1.359997769328397e-09,0.0,False,False,16.0,0.0514847627976862,1144.0,0.0722952281952592,0.0208104653975729,False,False,,,,False,0,False,False,True,False,False
ESM1,72.0,1.416605186682201,4.707964273499371e-13,2.071358410029158e-12,0.0,False,True,16.0,0.114423798132207,1144.0,0.1200789974770803,0.0056551993448733,False,False,,,,False,1,True,False,True,True,False
ITGAD,,,,,,False,False,16.0,-0.0060109323517216,1144.0,-0.0259675962833699,-0.0199566639316483,False,False,,,,False,0,False,False,True,False,False
ITGAX,80.0,1.5103499540258485,7.849526548031477e-15,1.3354214595445762e-13,1.0,False,True,16.0,-0.0371692584374876,1144.0,-0.0229086748735378,0.0142605835639498,False,False,,,,False,1,True,False,True,True,False
CASP1,80.0,1.102989292724201,8.792926151362765e-15,1.3354214595445762e-13,0.0,False,True,16.0,-0.0160736215084049,1144.0,0.00531758672716,0.021391208235565,False,False,,,,False,1,True,False,True,True,False
CTNND2,,,,,1.0,False,False,16.0,0.0884472176178952,1144.0,0.078908395520602,-0.0095388220972932,False,False,,,,False,0,False,False,True,False,False
NOTCH1,76.0,0.1229684981698984,0.0087996716320365,0.0117411639346881,0.0,False,False,16.0,-0.0247325116458639,1144.0,-0.0194580532560859,0.005274458389778,False,False,,,,False,0,False,False,True,False,False
CFLAR,76.0,0.1670693752778014,6.498851255084916e-06,1.1733463168748354e-05,0.0,False,False,16.0,-1.703211789817267,1144.0,-0.5154516639458036,1.1877601258714634,True,True,,,,False,1,True,False,True,True,False
DOCK3,,,,,,False,False,16.0,-0.0763922856254303,1144.0,-0.0458692178176292,0.0305230678078011,False,False,,,,False,0,False,False,True,False,False
ITGA3,80.0,0.2033284840564508,8.390777666518138e-05,0.0001359760831549,2.0,True,False,16.0,-0.0248446555842277,1144.0,-0.0675258317262398,-0.0426811761420121,False,False,,,,False,1,True,False,True,False,False
ITGB1,80.0,-0.0077394677024997,0.4093935072074345,0.4438547663558366,0.0,False,False,16.0,0.1903850156279163,1144.0,-0.1562995301619399,-0.3466845457898562,False,False,,,,False,0,False,False,True,False,False
HPS5,80.0,0.1844559093081006,1.32094652755225e-07,2.779909698590878e-07,0.0,False,False,16.0,-0.0172276687706283,1144.0,-0.0142610493928157,0.0029666193778125,False,False,,,,False,0,False,False,True,False,False
KIF17,,,,,1.0,False,False,16.0,-0.0150092751006243,1144.0,-0.0625235125297654,-0.0475142374291411,False,False,,,,False,0,False,False,True,False,False
WTAP,80.0,0.1764779971968018,1.950738275369709e-07,4.036500329362458e-07,0.0,False,False,16.0,-0.836176486911795,1144.0,-0.804296367763061,0.031880119148734,True,False,,,,False,0,False,False,True,False,False
NONO,80.0,0.0427000145106006,0.0071298624201115,0.0096056969986322,0.0,False,False,16.0,-0.1062741071659836,1144.0,-0.1909579275725534,-0.0846838204065698,False,False,,,,False,0,False,False,True,False,False
FUS,80.0,0.1681731865680511,2.536697471735228e-06,4.731836334796747e-06,0.0,False,False,16.0,-0.0972081277184417,1144.0,-0.0700491368035484,0.0271589909148932,False,False,,,,False,0,False,False,True,False,False
TOP1,80.0,0.0495458628730496,0.1777366484805328,0.2026790129229926,0.0,False,False,16.0,-1.0572910810764913,1144.0,-1.0007780566442346,0.0565130244322567,True,False,,,,False,0,False,False,True,False,False
