Method,Family,Profile,Scope,K,Evidence,RunN,SelectedNMean,HitRateMean,HitRateSD,FoldMean,FoldSD
GCN,GCN,supervised,global_then_filter,150,IndependentAnyHit,3,109.33333333333333,0.4513888888888889,0.012888343432476919,2.5691993464052287,0.07335741826626269
GCN,GCN,supervised,global_then_filter,150,IndependentStrongHit,3,109.33333333333333,0.04265873015873015,0.004938222395194468,6.879431216931216,0.7963706649316951
GCN,GCN,supervised,global_then_filter,150,PostHocNonMutationAnyHit,3,109.33333333333333,0.09149029982363316,0.009454048343206156,1.475433568489124,0.15246228628143788
GCN,GCN,supervised,global_then_filter,150,PostHocNonMutationStrongHit,3,109.33333333333333,0.0,0.0,,
GRN_degree,GRN_degree,static,candidate_pool,50,CPTACProteinSupport,1,50.0,0.02,,0.40316666666666673,
GRN_degree,GRN_degree,static,candidate_pool,50,CPTACRecurrence,1,50.0,0.24,,2.0019310344827588,
GRN_degree,GRN_degree,static,candidate_pool,50,DepMapCCRCCDependency,1,50.0,0.04,,0.3091373801916933,
GRN_degree,GRN_degree,static,candidate_pool,50,DepMapCCRCCSelective,1,50.0,0.0,,0.0,
GRN_degree,GRN_degree,static,candidate_pool,50,FrozenLiteratureHoldout,1,50.0,0.06,,18.1425,
GRN_degree,GRN_degree,static,candidate_pool,50,IndependentAnyHit,1,50.0,0.3,,1.7075294117647057,
GRN_degree,GRN_degree,static,candidate_pool,50,IndependentStrongHit,1,50.0,0.02,,3.225333333333334,
GRN_degree,GRN_degree,static,candidate_pool,50,PostHocNonMutationAnyHit,1,50.0,0.08,,1.2901333333333334,
GRN_degree,GRN_degree,static,candidate_pool,50,PostHocNonMutationStrongHit,1,50.0,0.0,,,
GRN_degree,GRN_degree,static,candidate_pool,100,CPTACProteinSupport,1,100.0,0.02,,0.40316666666666673,
GRN_degree,GRN_degree,static,candidate_pool,100,CPTACRecurrence,1,100.0,0.24,,2.0019310344827588,
GRN_degree,GRN_degree,static,candidate_pool,100,DepMapCCRCCDependency,1,100.0,0.04,,0.3091373801916933,
GRN_degree,GRN_degree,static,candidate_pool,100,DepMapCCRCCSelective,1,100.0,0.01,,1.0995454545454546,
GRN_degree,GRN_degree,static,candidate_pool,100,FrozenLiteratureHoldout,1,100.0,0.03,,9.07125,
GRN_degree,GRN_degree,static,candidate_pool,100,IndependentAnyHit,1,100.0,0.29,,1.6506117647058822,
GRN_degree,GRN_degree,static,candidate_pool,100,IndependentStrongHit,1,100.0,0.01,,1.612666666666667,
GRN_degree,GRN_degree,static,candidate_pool,100,PostHocNonMutationAnyHit,1,100.0,0.06,,0.9676,
GRN_degree,GRN_degree,static,candidate_pool,100,PostHocNonMutationStrongHit,1,100.0,0.0,,,
GRN_degree,GRN_degree,static,candidate_pool,150,CPTACProteinSupport,1,150.0,0.013333333333333334,,0.26877777777777784,
GRN_degree,GRN_degree,static,candidate_pool,150,CPTACRecurrence,1,150.0,0.24666666666666667,,2.0575402298850576,
GRN_degree,GRN_degree,static,candidate_pool,150,DepMapCCRCCDependency,1,150.0,0.04,,0.3091373801916933,
GRN_degree,GRN_degree,static,candidate_pool,150,DepMapCCRCCSelective,1,150.0,0.006666666666666667,,0.7330303030303031,
GRN_degree,GRN_degree,static,candidate_pool,150,FrozenLiteratureHoldout,1,150.0,0.03333333333333333,,10.079166666666667,
GRN_degree,GRN_degree,static,candidate_pool,150,IndependentAnyHit,1,150.0,0.2866666666666667,,1.6316392156862745,
GRN_degree,GRN_degree,static,candidate_pool,150,IndependentStrongHit,1,150.0,0.013333333333333334,,2.1502222222222227,
GRN_degree,GRN_degree,static,candidate_pool,150,PostHocNonMutationAnyHit,1,150.0,0.05333333333333334,,0.8600888888888889,
GRN_degree,GRN_degree,static,candidate_pool,150,PostHocNonMutationStrongHit,1,150.0,0.0,,,
GRN_degree,GRN_degree,static,global_then_filter,50,CPTACProteinSupport,1,9.0,0.0,,0.0,
GRN_degree,GRN_degree,static,global_then_filter,50,CPTACRecurrence,1,9.0,0.1111111111111111,,0.9268199233716475,
GRN_degree,GRN_degree,static,global_then_filter,50,DepMapCCRCCDependency,1,9.0,0.0,,0.0,
GRN_degree,GRN_degree,static,global_then_filter,50,DepMapCCRCCSelective,1,9.0,0.0,,0.0,
GRN_degree,GRN_degree,static,global_then_filter,50,FrozenLiteratureHoldout,1,9.0,0.2222222222222222,,67.19444444444444,
GRN_degree,GRN_degree,static,global_then_filter,50,IndependentAnyHit,1,9.0,0.2222222222222222,,1.2648366013071894,
GRN_degree,GRN_degree,static,global_then_filter,50,IndependentStrongHit,1,9.0,0.1111111111111111,,17.918518518518518,
GRN_degree,GRN_degree,static,global_then_filter,50,PostHocNonMutationAnyHit,1,9.0,0.2222222222222222,,3.5837037037037036,
GRN_degree,GRN_degree,static,global_then_filter,50,PostHocNonMutationStrongHit,1,9.0,0.0,,,
GRN_degree,GRN_degree,static,global_then_filter,100,CPTACProteinSupport,1,22.0,0.045454545454545456,,0.9162878787878789,
GRN_degree,GRN_degree,static,global_then_filter,100,CPTACRecurrence,1,22.0,0.13636363636363635,,1.1374608150470218,
GRN_degree,GRN_degree,static,global_then_filter,100,DepMapCCRCCDependency,1,22.0,0.045454545454545456,,0.35129247749056053,
GRN_degree,GRN_degree,static,global_then_filter,100,DepMapCCRCCSelective,1,22.0,0.0,,0.0,
GRN_degree,GRN_degree,static,global_then_filter,100,FrozenLiteratureHoldout,1,22.0,0.13636363636363635,,41.23295454545455,
GRN_degree,GRN_degree,static,global_then_filter,100,IndependentAnyHit,1,22.0,0.2727272727272727,,1.5522994652406414,
GRN_degree,GRN_degree,static,global_then_filter,100,IndependentStrongHit,1,22.0,0.045454545454545456,,7.330303030303031,
GRN_degree,GRN_degree,static,global_then_filter,100,PostHocNonMutationAnyHit,1,22.0,0.18181818181818182,,2.932121212121212,
GRN_degree,GRN_degree,static,global_then_filter,100,PostHocNonMutationStrongHit,1,22.0,0.0,,,
GRN_degree,GRN_degree,static,global_then_filter,150,CPTACProteinSupport,1,47.0,0.02127659574468085,,0.4289007092198582,
GRN_degree,GRN_degree,static,global_then_filter,150,CPTACRecurrence,1,47.0,0.23404255319148937,,1.9522377109317683,
GRN_degree,GRN_degree,static,global_then_filter,150,DepMapCCRCCDependency,1,47.0,0.0425531914893617,,0.32886955339541835,
GRN_degree,GRN_degree,static,global_then_filter,150,DepMapCCRCCSelective,1,47.0,0.0,,0.0,
GRN_degree,GRN_degree,static,global_then_filter,150,FrozenLiteratureHoldout,1,47.0,0.06382978723404255,,19.300531914893615,
GRN_degree,GRN_degree,static,global_then_filter,150,IndependentAnyHit,1,47.0,0.2978723404255319,,1.6954192740926155,
GRN_degree,GRN_degree,static,global_then_filter,150,IndependentStrongHit,1,47.0,0.02127659574468085,,3.4312056737588654,
GRN_degree,GRN_degree,static,global_then_filter,150,PostHocNonMutationAnyHit,1,47.0,0.0851063829787234,,1.3724822695035461,
GRN_degree,GRN_degree,static,global_then_filter,150,PostHocNonMutationStrongHit,1,47.0,0.0,,,
MLP,MLP,supervised,candidate_pool,50,CPTACProteinSupport,3,50.0,0.02666666666666667,0.011547005383792516,0.5375555555555557,0.23276838352828416
MLP,MLP,supervised,candidate_pool,50,CPTACRecurrence,3,50.0,0.19333333333333333,0.06429100507328636,1.6126666666666667,0.5362756595595852
MLP,MLP,supervised,candidate_pool,50,DepMapCCRCCDependency,3,50.0,0.14,0.034641016151377546,1.0819808306709264,0.2677208245053747
MLP,MLP,supervised,candidate_pool,50,DepMapCCRCCSelective,3,50.0,0.02,0.0,2.199090909090909,0.0
MLP,MLP,supervised,candidate_pool,50,FrozenLiteratureHoldout,3,50.0,0.08,0.0,24.19,0.0
MLP,MLP,supervised,candidate_pool,50,IndependentAnyHit,3,50.0,0.29333333333333333,0.06429100507328638,1.6695843137254902,0.3659292735818346
