Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
FBXW8	5.484848484848484	2.0437351789857054e-17	0.5067848	0.0
PDZD4	6.196969696969697	1.0	-0.14219464	1.0
C3	9.151515151515152	1.0	0.57006234	0.0
TNRC6B	5.409090909090909	2.9159368781695483e-22	0.48732978	0.0
NCS1	5.136363636363637	2.1211059095571176e-44	0.118568435	1.0
SUDS3	4.409090909090909	1.1994242041498635e-131	0.1640468	1.0
POU2F3	4.2727272727272725	3.653471191512652e-151	0.08024045	1.0
ABCC2	6.090909090909091	1.0	-0.21217772	1.0
HIPK1	3.8333333333333335	1.0527038113259565e-217	0.013310107	1.0
PITPNM3	4.742424242424242	1.7760953240947375e-87	0.5842695	0.0
WNT3	9.712121212121213	1.0	0.00080228935	1.0
ULK1	7.621212121212121	1.0	0.0599333	1.0
S100B	5.0	5.73731037415242e-58	0.05989443	1.0
PRMT5	6.0	0.7159900182747669	0.16647366	1.0
KCNQ5	4.818181818181818	2.526887068025153e-78	0.41836703	1.116917918859255e-267
NR1I3	4.303030303030303	9.116079619484862e-147	0.466351	0.0
TBC1D17	5.4393939393939394	2.973650604950998e-20	-0.1345019	1.0
TJP1	5.015151515151516	2.1957164053562734e-56	-0.09429214	1.0
RUFY1	4.848484848484849	9.105895800645387e-75	-0.13447879	1.0
CNTNAP3	6.196969696969697	1.0	0.055324953	1.0
WNT5A	7.712121212121212	1.0	-0.00908545	1.0
TJP3	6.015151515151516	0.8509305982928572	-0.19896917	1.0
MAFK	5.151515151515151	5.424357440584188e-43	0.08554696	1.0
ASCL1	4.621212121212121	7.283583094836594e-103	0.10793152	1.0
LNX2	4.7727272727272725	8.965969538698311e-84	-0.13214676	1.0
KIR2DL1	8.151515151515152	1.0	0.019402504	1.0
KIAA1549L	5.151515151515151	5.424357440584188e-43	0.6936491	0.0
TRADD	4.545454545454546	6.816081911527422e-113	0.33496273	5.4307990884561743e-126
CDKN3	4.106060606060606	7.365278323712362e-176	0.22795367	3.032331031297282e-09
SPHKAP	5.878787878787879	0.032883936894816605	0.6731072	0.0
HERC5	4.393939393939394	8.794930156881239e-134	0.1580186	1.0
GSE1	6.181818181818182	1.0	-0.19930755	1.0
AP4M1	15.0	1.0	-0.0473774	1.0
PLEKHB2	5.075757575757576	3.0673721766277474e-50	0.38488483	1.192194399682007e-208
TRAF7	4.757575757575758	1.2813048174903688e-85	0.59040636	0.0
TAF6L	5.257575757575758	1.0798160343680533e-33	-0.13072424	1.0
DZANK1	6.196969696969697	1.0	-0.139114	1.0
MLF1	6.015151515151516	0.8509305982928572	0.04152533	1.0
RPRD2	6.9393939393939394	1.0	0.6340222	0.0
GP5	7.090909090909091	1.0	-0.10647395	1.0
BRF2	4.484848484848484	4.014635475591554e-121	0.08721623	1.0
APH1A	4.742424242424242	1.7760953240947375e-87	0.17301275	1.0
NEFM	5.03030303030303	8.064061631179219e-55	-0.17110828	1.0
PRDM16	6.03030303030303	0.9798457738133981	0.53505903	0.0
FLNB	5.0	5.73731037415242e-58	0.018978648	1.0
MBD4	4.2727272727272725	3.653471191512652e-151	0.42929202	3.552824869545073e-287
ELL2	9.090909090909092	1.0	0.1301418	1.0
USP47	6.454545454545454	1.0	0.0010131256	1.0
CPSF3L	5.136363636363637	2.1211059095571176e-44	0.3110705	8.805138605293255e-91
CDC7	4.5606060606060606	7.325333522650586e-111	0.34316248	7.333087399463202e-139
PNPLA2	4.742424242424242	1.7760953240947375e-87	-0.05964056	1.0
GRIA1	4.318181818181818	1.39485974342238e-144	0.6557245	0.0
VPS45	8.257575757575758	1.0	-0.12941481	1.0
DES	6.878787878787879	1.0	-0.059609085	1.0
ARID3A	3.909090909090909	5.923234485644303e-206	0.47000137	0.0
PITX1	4.621212121212121	7.283583094836594e-103	0.13445693	1.0
C17orf70	10.727272727272727	1.0	-0.16951112	1.0
C14orf166	5.0	5.73731037415242e-58	0.14086542	1.0
CD63	6.696969696969697	1.0	0.046918247	1.0
IGFBP3	5.833333333333333	0.004305575878039548	0.01505731	1.0
CYP2C19	15.0	1.0	-0.054312788	1.0
CYP2C9	15.0	1.0	-0.054312788	1.0
PHB	3.787878787878788	8.678073467218118e-225	0.24217343	1.8449167157799e-17
FMR1	4.2272727272727275	8.267787050295119e-158	0.5949443	0.0
RNF7	4.924242424242424	3.717947928122215e-66	0.14209329	1.0
DOK2	4.121212121212121	1.4005079411372226e-173	0.12685882	1.0
OSBPL3	4.212121212121212	4.797666161747924e-160	-0.11850926	1.0
CLNK	5.333333333333333	1.0790384356130577e-27	0.03202392	1.0
OXSR1	15.0	1.0	0.34572044	6.020025620690518e-143
