Gene	Average shortest path length to known risk genes	FDR p-value (Average shortest path length)	Average cosine similarity with known risk genes	FDR p-value (Average cosine similarity)
CCND3	4.015151515151516	1.2499973933095756e-192	0.195721	0.12629447132508992
BANF1	5.409090909090909	1.1965605630142752e-27	0.11555029	1.0
LST1	4.7727272727272725	6.9489106635318485e-90	0.20560531	0.000667861775567175
SNCA	3.6363636363636362	3.245605426130343e-249	0.21457425	3.656614229523553e-07
PAX8	4.0	7.386654389169344e-195	0.46138537	0.0
GNG10	7.045454545454546	1.0	0.13709196	1.0
NOL12	5.287878787878788	4.435475492969264e-37	0.1541997	1.0
TNFRSF9	5.045454545454546	1.4229306440703084e-59	0.3932165	8.690835064980943e-246
SNRPG	5.984848484848484	0.04362517966007074	0.15906934	1.0
CEP19	6.181818181818182	1.0	0.18429391	1.0
FGF19	6.621212121212121	1.0	0.24680987	3.208769262478785e-28
SF3A3	4.393939393939394	1.0948844848673155e-138	0.42396057	7.744511535536637e-302
GNG4	7.045454545454546	1.0	0.12689337	1.0
SLN	5.4393939393939394	1.6925534327478274e-25	0.12264984	1.0
IL21R	4.909090909090909	3.9245179205093584e-74	0.46568492	0.0
BRMS1L	4.318181818181818	3.8075011752609048e-149	0.48444518	0.0
TDP2	4.166666666666667	1.3774237346063119e-170	0.4542286	0.0
PIKFYVE	7.166666666666667	1.0	0.24081959	3.0277928434126666e-23
TPM2	4.5606060606060606	2.0701982173404105e-116	0.34495097	9.092622359749036e-161
IL18BP	6.303030303030303	1.0	0.1545207	1.0
SLC6A5	5.515151515151516	1.7246853142774622e-20	0.5137198	0.0
PBLD	5.621212121212121	2.1281896348445874e-14	0.32549372	8.444408749450814e-129
AKAP8L	5.151515151515151	3.59408870467608e-49	0.5455865	0.0
RPL7	5.045454545454546	1.4229306440703084e-59	0.30256224	6.377503503631176e-94
SDHB	6.196969696969697	1.0	0.28687936	2.491760659557745e-72
CLDN12	6.7727272727272725	1.0	0.24806665	2.536847040560894e-29
KHDRBS1	3.696969696969697	4.6359708472492094e-240	0.27221394	3.632924859861887e-54
MAFB	4.4393939393939394	1.673299379658336e-132	0.4105719	2.288875734866523e-277
ZBTB33	4.348484848484849	6.158238409806613e-145	0.5718599	0.0
NGFRAP1	4.666666666666667	7.336184814303851e-103	0.24446192	3.2402539206820233e-26
CNPY4	5.575757575757576	7.098220602553354e-17	0.2648631	6.747294152024031e-46
GRIN2A	4.318181818181818	3.8075011752609048e-149	0.6169594	0.0
FCER1G	4.7727272727272725	6.9489106635318485e-90	0.23700944	2.5118771795699567e-20
RPL5	4.621212121212121	1.3207905061700894e-108	0.38981396	1.2437187351400542e-239
SUMO4	4.090909090909091	1.5223184067744789e-181	-0.0975225	1.0
XRCC6BP1	4.5	2.201714823989054e-124	0.3708635	1.0869536137561374e-205
TGFBI	6.575757575757576	1.0	0.6300311	0.0
ANAPC11	5.787878787878788	4.385663779892977e-07	0.23758538	9.359440469440483e-21
KCNC1	15.0	1.0	0.31885114	2.404269345180532e-118
DYRK2	5.2272727272727275	2.9052237252149825e-42	0.5156965	0.0
FXYD3	4.363636363636363	7.512830586913155e-143	0.22381301	9.919273513670498e-12
PEBP4	4.636363636363637	1.1170269528111936e-106	0.3319064	3.96875291822723e-139
CYTH2	4.333333333333333	4.8731389520965527e-147	0.4379119	0.0
OPN4	6.7727272727272725	1.0	0.31259754	9.401544254428169e-109
CD38	4.833333333333333	9.548106231121443e-83	0.4232996	1.248958055975295e-300
FXYD2	6.03030303030303	0.17626248537921577	0.10794442	1.0
ID2	4.075757575757576	9.425084823205431e-184	0.06617093	1.0
ARHGAP19	6.318181818181818	1.0	0.2863193	1.3425339919353221e-71
ACCS	6.151515151515151	1.0	0.413717	4.1334778631463377e-283
HIST2H4A	4.696969696969697	4.296316092130633e-99	0.1859494	1.0
ROS1	4.424242424242424	1.483232711503633e-134	0.70878994	0.0
WBP2	4.606060606060606	1.5330310558122995e-110	0.36409354	9.42256487544025e-194
HRH4	6.045454545454546	0.254656797901843	0.39149162	1.151914714919647e-242
PITPNB	6.636363636363637	1.0	0.18680905	1.0
BAALC	5.4393939393939394	1.6925534327478274e-25	0.21092187	1.0734586025242595e-05
CHMP2B	6.090909090909091	0.5901931783435886	0.130379	1.0
HSPE1	4.454545454545454	1.8518644066753443e-130	0.2634421	2.286650310477793e-44
MAPK8IP1	3.8636363636363638	4.569907826037505e-215	0.48249465	0.0
RGL2	4.212121212121212	4.33582970150717e-164	0.6166645	0.0
G6PD	5.090909090909091	5.1713704161927095e-55	0.44091457	0.0
COPE	5.742424242424242	8.455253740774733e-09	0.31828678	1.8077786823436724e-117
ANKS4B	10.121212121212121	1.0	0.2722646	3.172860895173704e-54
MICAL3	15.0	1.0	0.43984953	0.0
THNSL2	4.484848484848484	2.1281592221250877e-126	0.5238352	0.0
CDX1	4.545454545454546	2.1705639517453993e-118	0.3941989	1.4408906497968147e-247
GTF2A1	4.287878787878788	2.2087249048920608e-153	0.45555267	0.0
GTF2H5	4.757575757575758	1.0619875368314136e-91	0.22359715	1.3079502242649714e-11
CHRM5	5.909090909090909	0.0015217723481678817	0.42390954	9.598246164747945e-302
LEP	15.0	1.0	0.13904701	1.0
TSSK4	4.181818181818182	2.0431422463121415e-168	0.44262728	0.0
ENKD1	4.696969696969697	4.296316092130633e-99	0.45065254	0.0
PCSK2	15.0	1.0	0.22256695	4.8177936559284735e-11
RNF139	4.590909090909091	1.7383763998462225e-112	0.39469525	1.8156422328969126e-248
CHAF1B	6.121212121212121	0.8477923380061042	0.42492867	1.3116986627568269e-303
CRIP2	4.651515151515151	9.179932486875994e-105	0.25987586	1.2510913776831054e-40
MKS1	7.0	1.0	0.49719214	0.0
S100A4	5.515151515151516	1.7246853142774622e-20	0.21813586	8.830170141034574e-09
PNO1	4.833333333333333	9.548106231121443e-83	0.2632918	3.3096102209084397e-44
SAMD3	5.5606060606060606	9.57038049901898e-18	0.33035183	1.3279865829187056e-136
PKNOX2	7.045454545454546	1.0	0.27468908	4.4224548175651135e-57
SERP1	9.106060606060606	1.0	0.06925976	1.0
BFSP1	4.696969696969697	4.296316092130633e-99	0.4973927	0.0
GGA1	5.696969696969697	9.995055185491281e-11	0.53732383	0.0
NR4A2	4.257575757575758	1.225183680326422e-157	0.4811643	0.0
F11R	5.303030303030303	7.887011253946248e-36	0.4295887	3.95787466948e-312
KCTD17	5.5	1.8957199282862748e-21	0.22811642	2.86788207881581e-14
CD53	5.621212121212121	2.1281896348445874e-14	0.23926757	4.929866404820308e-22
HDAC11	4.46969696969697	2.0157488759722106e-128	0.3783257	5.659301245218394e-219
FXYD6	4.909090909090909	3.9245179205093584e-74	0.24544112	4.8216876932413145e-27
SLC4A1	6.848484848484849	1.0	0.5715265	0.0
QPRT	5.621212121212121	2.1281896348445874e-14	0.38648567	1.2665278605389133e-233
PHC2	5.863636363636363	0.0001074974518139196	0.2366728	4.451699625669565e-20
DERL3	8.333333333333334	1.0	0.19303085	0.3102486869429629
ACLY	4.151515151515151	9.15888580977784e-173	0.65957844	0.0
TNFAIP1	5.045454545454546	1.4229306440703084e-59	0.41884285	1.7748138012244952e-292
ZNHIT6	4.015151515151516	1.2499973933095756e-192	0.40963843	1.1565895597014924e-275
C16orf74	4.803030303030303	2.7367645399029442e-86	0.24468538	2.102325021807053e-26
RAB1A	4.954545454545454	3.884182853552079e-69	0.14586708	1.0
TREML1	4.742424242424242	1.5808109845269243e-93	0.43908757	0.0
SPAG4	6.833333333333333	1.0	0.2488116	5.5183923727124306e-30
CTNNBIP1	4.196969696969697	2.9882021010514624e-166	0.22078705	4.2215473821730295e-10
DCAF7	4.287878787878788	2.2087249048920608e-153	0.45112416	0.0
PPM1B	4.287878787878788	2.2087249048920608e-153	0.601312	0.0
LGALS8	5.848484848484849	4.0048182067238415e-05	0.39622745	3.0256505173611028e-251
WDR5	5.121212121212121	4.676730757762688e-52	0.426188	6.532285165387001e-306
POLR2K	6.045454545454546	0.254656797901843	0.17156635	1.0
MAPK13	3.9545454545454546	1.4292587375731596e-201	0.46844873	0.0
PRCC	5.636363636363637	1.2851410704542627e-13	0.4053013	9.467400847757097e-268
CMA1	6.7727272727272725	1.0	0.17162465	1.0
TCF7L2	3.893939393939394	1.469768442176506e-210	0.4924133	0.0
RPGR	5.2272727272727275	2.9052237252149825e-42	0.53851116	0.0
RPA4	5.136363636363637	1.329601873108839e-50	0.37861282	1.7369904854393904e-219
BUB3	4.348484848484849	6.158238409806613e-145	0.49615374	0.0
PKIB	5.2272727272727275	2.9052237252149825e-42	0.13588578	1.0
DPM2	15.0	1.0	0.13001153	1.0
RSRC1	5.0	2.784639304065503e-64	0.4005841	3.6905876968674283e-259
PRM1	5.5	1.8957199282862748e-21	0.21069972	1.3001857853298747e-05
